service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12587,1,1,1,1,1,1,1,20170801,20991231
12588,1,1,1,1,1,0,0,20170801,20991231
12589,0,0,0,0,0,1,0,20170801,20991231
12590,0,0,0,0,0,0,1,20170801,20991231
