RBD,NOM_RBD,COD_COM_RBD,COD_DEPE2,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,ENS_01,COD_ENSE2,COD_PRO_RBD,PROM_ASIS,PROM_ASIS_REP
430,LICEO POLITÉCNICO BELÉN,3101,2,-27.361509,-70.333351,1022,1,10,7,31,77.5087719298246,14.0
431,LICEO SAGRADO CORAZÓN,3101,2,-27.366791,-70.337898,918,1,10,2,31,82.3408239700374,49.3333333333333
431,LICEO SAGRADO CORAZÓN,3101,2,-27.366791,-70.337898,918,1,10,5,31,82.600790513834,74.0
433,COLEGIO ADVENTISTA DE COPIAPÓ,3101,2,-27.369869,-70.32711,1041,1,110,2,31,74.7973760932945,73.0
437,ESCUELA TÉCNICO PROFESIONAL,3101,2,-27.36244,-70.345718,1236,1,310,5,31,88.5224719101124,62.7142857142857
437,ESCUELA TÉCNICO PROFESIONAL,3101,2,-27.36244,-70.345718,1236,1,310,7,31,87.3068181818182,66.5714285714286
437,ESCUELA TÉCNICO PROFESIONAL,3101,2,-27.36244,-70.345718,1236,1,310,7,31,86.876989869754,63.6470588235294
438,LICEO MANUEL BLANCO ENCALADA,3102,5,-27.07362,-70.826851,507,1,310,5,31,82.1142857142857,51.25
438,LICEO MANUEL BLANCO ENCALADA,3102,5,-27.07362,-70.826851,507,1,310,7,31,82.8884120171674,43.3333333333333
438,LICEO MANUEL BLANCO ENCALADA,3102,5,-27.07362,-70.826851,507,1,310,7,31,81.0769230769231,52.25
440,COLEGIO PARROQUIAL PADRE NEGRO,3102,2,-27.0695,-70.810699,1153,1,10,2,31,83.3225308641975,58.8
440,COLEGIO PARROQUIAL PADRE NEGRO,3102,2,-27.0695,-70.810699,1153,1,10,5,31,83.7816901408451,60.2
440,COLEGIO PARROQUIAL PADRE NEGRO,3102,2,-27.0695,-70.810699,1153,1,10,7,31,82.8963963963964,64.3684210526316
441,ESCUELA DE CONCENTRACIÓN,3103,5,-27.477699,-70.253197,292,1,10,2,31,78.6973684210526,45.0
441,ESCUELA DE CONCENTRACIÓN,3103,5,-27.477699,-70.253197,292,1,10,6,31,81.4310344827586,47.6
441,ESCUELA DE CONCENTRACIÓN,3103,5,-27.477699,-70.253197,292,1,10,7,31,74.7777777777778,27.0
441,ESCUELA DE CONCENTRACIÓN,3103,5,-27.477699,-70.253197,292,1,10,7,31,78.5555555555556,64.5
442,ESCUELA VICTOR MANUEL SÁNCHEZ CABAÑAS,3103,5,-27.483,-70.267448,481,1,10,2,31,89.1309523809524,78.75
444,ESCUELA LUIS URIBE ORREGO,3103,5,-27.49749,-70.266144,392,1,10,2,31,78.9022988505747,66.25
445,ESCUELA PAUL HARRIS,3103,5,-27.50318,-70.264992,43,1,10,2,31,86.9032258064516,65.0
446,ESCUELA AMOLANAS,3103,5,-27.97069,-70.001984,33,1,10,2,31,95.1538461538462,92.6666666666667
8485,LICEO INSTITUTO NACIONAL,13101,1,-33.44487089999999,-70.65030401,4023,1,110,2,131,98.4464566929134,96.7027027027027
8485,LICEO INSTITUTO NACIONAL,13101,1,-33.44487089999999,-70.65030401,4023,1,110,5,131,88.9607087827427,75.7946428571429
8487,LICEO JAVIERA CARRERA,13101,1,-33.43921052,-70.65729306,2490,1,110,2,131,77.4685990338164,53.0
8487,LICEO JAVIERA CARRERA,13101,1,-33.43921052,-70.65729306,2490,1,110,5,131,77.4931714719272,47.0833333333333
8488,LICEO N° 4 BICENTENARIO ISAURA DINATOR,13101,1,-33.44560481,-70.67929193,351,1,110,2,131,76.76,45.4
8488,LICEO N° 4 BICENTENARIO ISAURA DINATOR,13101,1,-33.44560481,-70.67929193,351,1,110,5,131,73.5800711743772,44.0
8489,LICEO BICENTENARIO TERESA PRATS,13101,1,-33.47070985,-70.64581436,468,1,110,5,131,82.6530612244898,54.3636363636364
8490,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,13101,1,-33.44366876,-70.67585032,549,1,110,2,131,82.3006535947712,46.0
8490,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,13101,1,-33.44366876,-70.67585032,549,1,110,5,131,80.6146788990826,53.6363636363636
8491,LICEO DE APLICACION RECTOR JORGE E SCHNE,13101,1,-33.44093916,-70.66271986,1488,1,110,2,131,76.2754491017964,30.0
8491,LICEO DE APLICACION RECTOR JORGE E SCHNE,13101,1,-33.44093916,-70.66271986,1488,1,110,5,131,76.3981220657277,34.5151515151515
8491,LICEO DE APLICACION RECTOR JORGE E SCHNE,13101,1,-33.44093916,-70.66271986,1488,1,110,6,131,80.1192660550459,48.5
8492,LICEO MANUEL BARROS BORGONO,13101,1,-33.46696348999999,-70.64888825,745,1,110,2,131,89.41,87.0
8492,LICEO MANUEL BARROS BORGONO,13101,1,-33.46696348999999,-70.64888825,745,1,110,5,131,86.2900900900901,74.5555555555556
8494,LICEO A-1 VALENTIN LETELIER,13127,1,-33.42673966,-70.64545088,500,1,310,5,131,83.7784679089027,49.1333333333333
8495,LICEO CONFEDERACION SUIZA,13101,1,-33.451304,-70.63777581,308,1,310,5,131,75.0171232876712,41.7647058823529
8496,LICEO JOSÉ DE SAN MARTIN,13101,1,-33.45613414,-70.65322898,372,1,310,5,131,88.6666666666667,67.0714285714286
8496,LICEO JOSÉ DE SAN MARTIN,13101,1,-33.45613414,-70.65322898,372,1,310,7,131,86.9540229885057,56.0
8497,LICEO GABRIELA MISTRAL,13108,1,-33.4160467,-70.65675624,1259,1,10,2,131,91.4171195652174,73.2
8497,LICEO GABRIELA MISTRAL,13108,1,-33.4160467,-70.65675624,1259,1,10,3,131,99.0769230769231,100.0
8497,LICEO GABRIELA MISTRAL,13108,1,-33.4160467,-70.65675624,1259,1,10,5,131,85.8537414965986,38.6666666666667
8497,LICEO GABRIELA MISTRAL,13108,1,-33.4160467,-70.65675624,1259,1,10,6,131,98.4942528735632,87.75
8498,LICEO DARIO SALAS,13101,1,-33.455643,-70.66915552,1523,1,110,2,131,76.4174672489083,41.8301886792453
8498,LICEO DARIO SALAS,13101,1,-33.455643,-70.66915552,1523,1,110,5,131,76.8174157303371,58.5454545454545
8499,INTERNADO NACIONAL BARROS ARANA,13101,1,-33.4388735,-70.68307302,1187,1,110,2,131,85.978102189781,59.0
8499,INTERNADO NACIONAL BARROS ARANA,13101,1,-33.4388735,-70.68307302,1187,1,110,5,131,74.2805836139169,54.8488372093023
8500,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,13101,1,-33.43735876,-70.66281847,745,1,310,5,131,87.2247838616715,69.05
8500,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,13101,1,-33.43735876,-70.66281847,745,1,310,7,131,89.5188405797101,79.5833333333333
8501,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA,13101,1,-33.45007738,-70.63732245,582,1,110,2,131,89.8888888888889,76.5
8501,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA,13101,1,-33.45007738,-70.63732245,582,1,110,5,131,89.49377593361,86.1111111111111
8501,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA,13101,1,-33.45007738,-70.63732245,582,1,110,7,131,86.7375886524823,76.0
8501,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA,13101,1,-33.45007738,-70.63732245,582,1,110,8,131,81.0769230769231,83.0
8502,LICEO COMERCIAL LUIS CORREA PRIETO,13127,4,-33.42213647,-70.64351607,650,1,310,5,131,85.7808641975309,77.4545454545455
8502,LICEO COMERCIAL LUIS CORREA PRIETO,13127,4,-33.42213647,-70.64351607,650,1,310,7,131,86.7408637873754,64.6
8503,INST.SUP.DE COMERCIO EDUARDO FREI M.,13101,1,-33.44209714,-70.65630131,1323,1,110,2,131,87.9770992366412,73.6666666666667
8503,INST.SUP.DE COMERCIO EDUARDO FREI M.,13101,1,-33.44209714,-70.65630131,1323,1,110,5,131,86.5767918088737,69.0357142857143
8503,INST.SUP.DE COMERCIO EDUARDO FREI M.,13101,1,-33.44209714,-70.65630131,1323,1,110,7,131,85.586642599278,64.0
8504,LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT,13101,4,-33.44304696999999,-70.67052414,660,1,310,5,131,72.513353115727,33.9523809523809
8504,LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT,13101,4,-33.44304696999999,-70.67052414,660,1,310,7,131,72.9224137931034,22.0
8505,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL,13101,4,-33.44102148999999,-70.67965152,866,1,310,5,131,78.9339853300734,31.9047619047619
8505,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL,13101,4,-33.44102148999999,-70.67965152,866,1,310,7,131,77.3483146067416,45.1428571428571
8505,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL,13101,4,-33.44102148999999,-70.67965152,866,1,310,7,131,78.3508287292818,39.8571428571429
8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,13101,4,-33.43851658,-70.67837947,998,1,310,5,131,83.8631090487239,56.0847457627119
8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,13101,4,-33.43851658,-70.67837947,998,1,310,6,131,82.6805555555556,11.7
8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,13101,4,-33.43851658,-70.67837947,998,1,310,7,131,82.6414342629482,51.9433962264151
8507,LICEO COMERCIAL JOAQUIN VERA MORALES,13101,4,-33.45549342,-70.66865263,1102,1,310,5,131,79.0658914728682,55.2916666666667
8507,LICEO COMERCIAL JOAQUIN VERA MORALES,13101,4,-33.45549342,-70.66865263,1102,1,310,7,131,75.3914728682171,22.7
8507,LICEO COMERCIAL JOAQUIN VERA MORALES,13101,4,-33.45549342,-70.66865263,1102,1,310,7,131,78.9722222222222,60.6666666666667
8508,LICEO POLIVALENTE JUAN A.RIOS,13126,1,-33.43160765999999,-70.68697808,378,1,310,5,131,87.5735294117647,70.1578947368421
8508,LICEO POLIVALENTE JUAN A.RIOS,13126,1,-33.43160765999999,-70.68697808,378,1,310,7,131,88.0875,46.0
8510,LICEO PAULA JARAQUEMADA,13127,1,-33.42596186,-70.64693479,316,1,310,5,131,81.6793650793651,45.0
8511,LICEO EXPERIMENTAL ARTISTICO B-65,13119,4,-33.43229408,-70.68769941,572,1,110,2,131,85.8189655172414,80.0
8511,LICEO EXPERIMENTAL ARTISTICO B-65,13119,4,-33.43229408,-70.68769941,572,1,110,7,131,81.7926267281106,64.7142857142857
8513,ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY,13101,1,-33.44986649,-70.64029999,694,1,10,2,131,86.5902527075812,24.125
8514,LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA,13108,1,-33.40979197,-70.66251778,1131,1,10,2,131,89.155,61.1428571428571
8514,LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA,13108,1,-33.40979197,-70.66251778,1131,1,10,5,131,88.875,75.1739130434783
8515,ESCUELA BASICA CORNELIA OLIVARES,13108,1,-33.42314179,-70.65681424,311,1,10,2,131,86.9031007751938,74.4444444444444
8518,LICEO ESTACION CENTRAL,13106,1,-33.45660624,-70.69843202,691,1,10,2,131,84.1268011527378,52.5
8518,LICEO ESTACION CENTRAL,13106,1,-33.45660624,-70.69843202,691,1,10,5,131,84.3163636363636,44.5
8519,ESCUELA BASICA PEDRO AGUIRRE CERDA,13102,1,-33.48183895999999,-70.69316402,319,1,10,2,131,77.3041825095057,60.0
8521,ESCUELA CARLOS CONDELL DE LA HAZA,13106,1,-33.46146352,-70.70038386,1014,1,10,2,131,86.9864864864865,78.25
8522,ESCUELA BASICA REPUBLICA DE COLOMBIA,13101,1,-33.45423061,-70.67438866,699,1,10,2,131,88.6110183639399,75.4
8523,ESCUELA BASICA REPUBLICA DE PANAMA,13101,1,-33.44242110999999,-70.67800391,392,1,10,2,131,83.7097791798107,61.0
8531,ESCUELA BASICA IRENE FREI DE CID,13101,1,-33.46779187,-70.644024,571,1,10,2,131,80.7773279352227,53.5333333333333
8532,ESCUELA BASICA LIBERTADORES DE CHILE,13101,1,-33.4359531,-70.66203467,386,1,10,2,131,87.8074712643678,66.6666666666667
8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,13101,1,-33.44976157,-70.63183657,638,1,10,2,131,89.5075187969925,52.5
8535,LICEO REPUBLICA DE BRASIL,13101,1,-33.47205853,-70.65926219,509,1,10,2,131,95.9381107491857,96.0
8535,LICEO REPUBLICA DE BRASIL,13101,1,-33.47205853,-70.65926219,509,1,10,5,131,93.2463768115942,86.3
8536,ESCUELA REPUBLICA DE ISRAEL,13101,1,-33.43965974,-70.67474682,606,1,10,2,131,89.8715789473684,75.1
8537,ESCUELA ARNALDO FALABELLA,13106,1,-33.45858943,-70.69222383,714,1,10,2,131,80.5523648648649,56.6666666666667
8540,ESCUELA BASICA REPUBLICA DE HAITI,13101,1,-33.47471332,-70.65160842,290,1,10,2,131,87.5391304347826,26.0
8541,LICEO DE ADULTOS HERBERT VARGAS WALLIS,13101,1,-33.473263,-70.65968,630,1,165,3,131,99.8064516129032,99.7647058823529
8541,LICEO DE ADULTOS HERBERT VARGAS WALLIS,13101,1,-33.473263,-70.65968,630,1,165,3,131,99.2943548387097,98.7934782608696
8541,LICEO DE ADULTOS HERBERT VARGAS WALLIS,13101,1,-33.473263,-70.65968,630,1,165,6,131,98.7306666666667,97.9241379310345
8542,LICEO SAN FRANCISCO DE QUITO,13108,1,-33.41036924,-70.66255379,928,1,10,2,131,80.362760834671,57.0
8542,LICEO SAN FRANCISCO DE QUITO,13108,1,-33.41036924,-70.66255379,928,1,10,5,131,79.7070063694268,34.0
8544,ESCUELA BÁSICA ARTURO ALESSANDRI PALMA,13106,1,-33.45601648,-70.69874984,992,1,10,2,131,85.8168498168498,55.6470588235294
8546,ESC.BAS.BILINGUE REPUBLICA DEL PARAGUAY,13127,1,-33.42700918,-70.64669818,1296,1,10,2,131,84.9653379549393,44.0
8548,ESCUELA BASICA DR LUIS CALVO MACKENNA,13101,1,-33.43577602,-70.66869441,664,1,10,2,131,78.9695945945946,60.6666666666667
8549,ESCUELA FERNANDO ALESSANDRI RODRIGUEZ,13101,1,-33.45677263999999,-70.65366284,391,1,10,2,131,87.2591463414634,69.2222222222222
8552,ESCUELA BAS SALVADOR SANFUENTES REP EEUU,13101,1,-33.44035234999999,-70.67931406,1229,1,10,2,131,80.3900862068966,63.1111111111111
8553,ESCUELA DE ADULTOS  JORGE ALESSANDRI R.,13127,1,-33.42455,-70.64515,869,1,167,3,131,41.6351351351351,4.0
8553,ESCUELA DE ADULTOS  JORGE ALESSANDRI R.,13127,1,-33.42455,-70.64515,869,1,167,6,131,38.0124137931034,3.75
8554,LICEO MUNICIPAL METROPOLITANO DE ADULTOS,13101,1,-33.469337,-70.64488,305,1,165,3,131,49.1612903225806,22.2222222222222
8554,LICEO MUNICIPAL METROPOLITANO DE ADULTOS,13101,1,-33.469337,-70.64488,305,1,165,6,131,44.3237410071942,19.0629921259843
8555,ESCUELA REPUBLICA EL LIBANO,13101,1,-33.45570717999999,-70.65809855,263,1,110,2,131,83.7865612648221,55.3333333333333
8556,ESCUELA REPUBLICA DE AUSTRIA,13106,1,-33.47529212,-70.6949904,690,1,10,2,131,84.9130434782609,60.0
8558,ESCUELA BÁSICA HUMBERTO VALENZUELA GARCÍA,13106,1,-33.47151519,-70.69187992,586,1,10,2,131,84.5418604651163,25.75
8561,ESCUELA REPUBLICA DE ALEMANIA,13101,1,-33.43146413,-70.67549745,345,1,10,2,131,88.1070110701107,90.0
8562,CIUDAD SANTIAGO DE CHILE,13101,1,-33.46092709,-70.64804215,314,1,10,2,131,85.5776892430279,17.0
8563,ESCUELA BASICA REPUBLICA DE MEXICO,13101,1,-33.44957134,-70.63669304,663,1,10,2,131,83.0017793594306,14.0
8564,ESCUELA BASICA REINO DE NORUEGA,13126,1,-33.43227444,-70.68794874,523,1,10,2,131,83.8253968253968,72.75
8569,ESCUELA BASICA REPUBLICA DEL ECUADOR,13101,1,-33.44896938,-70.67072409,651,1,10,2,131,83.3759259259259,37.0
8576,ESCUELA BASICA REYES CATOLICOS,13101,1,-33.46795786,-70.62786296,290,1,10,2,131,88.3441860465116,77.8
8579,ESCUELA BASICA UNION LATINOAMERICANA,13106,1,-33.46348143,-70.6917367,378,1,10,2,131,90.561872909699,79.0
8587,LICEO DE ADULTOS MUNICIPALIZADO LUIS GOMEZ CATALAN,13106,1,-33.455536,-70.69752,443,1,165,6,131,72.324427480916,49.7333333333333
8589,LICEO MIGUEL RAFAEL PRADO,13108,2,-33.42140808,-70.66238091,1844,1,10,2,131,91.5166975881262,92.2
8592,LICEO JOSE MIGUEL INFANTE,13101,2,-33.43322191,-70.66402874,1015,1,110,2,131,87.3865671641791,70.3333333333333
8592,LICEO JOSE MIGUEL INFANTE,13101,2,-33.43322191,-70.66402874,1015,1,110,5,131,87.1964285714286,47.0
8598,COLEGIO ALTO PALENA,13101,2,-33.44563938,-70.67614969,382,1,110,5,131,87.3597733711048,80.2
8601,COLEGIO WUNMAN,13101,2,-33.44868,-70.63706,121,1,310,5,131,92.6967213114754,53.0
8603,CENTRO EDUCATIVO SALESIANOS ALAMEDA,13101,2,-33.44704549,-70.66787974,1727,1,110,2,131,88.8498498498498,78.4
8603,CENTRO EDUCATIVO SALESIANOS ALAMEDA,13101,2,-33.44704549,-70.66787974,1727,1,110,5,131,92.1025641025641,53.75
8603,CENTRO EDUCATIVO SALESIANOS ALAMEDA,13101,2,-33.44704549,-70.66787974,1727,1,110,7,131,90.5026525198939,69.0833333333333
8604,COLEGIO SANTA CRUZ,13101,2,-33.46341747,-70.65124299,975,1,10,2,131,87.1285008237232,70.5454545454545
8604,COLEGIO SANTA CRUZ,13101,2,-33.46341747,-70.65124299,975,1,10,5,131,87.1580756013746,73.0
8609,COLEGIO SAN IGNACIO,13101,3,-33.447065,-70.65616,1385,1,10,2,131,92.6231884057971,94.0
8609,COLEGIO SAN IGNACIO,13101,3,-33.447065,-70.65616,1385,1,10,5,131,92.6256281407035,68.0
8611,COLEGIO NUESTRA SENORA DE ANDACOLLO,13101,2,-33.43189241,-70.66987309,1130,1,10,2,131,89.0683760683761,67.5
8611,COLEGIO NUESTRA SENORA DE ANDACOLLO,13101,2,-33.43189241,-70.66987309,1130,1,10,5,131,89.1289398280802,79.0
8613,COLEGIO FRANCISCANO MARIA REINA,13106,2,-33.45594954,-70.68375539,450,1,110,2,131,86.9194630872483,42.0
8613,COLEGIO FRANCISCANO MARIA REINA,13106,2,-33.45594954,-70.68375539,450,1,110,5,131,85.3286713286713,33.5
8614,COLEGIO MARIA TERESA CANCINO AGUILAR,13127,2,-33.41236812999999,-70.63803656,1086,1,10,2,131,89.3065810593901,28.0
8614,COLEGIO MARIA TERESA CANCINO AGUILAR,13127,2,-33.41236812999999,-70.63803656,1086,1,10,5,131,89.3865814696486,57.0
8616,COLEGIO POLIVALENTE PLUS ULTRA,13108,2,-33.42078067,-70.65681068,1003,1,110,2,131,88.5277777777778,70.5
8616,COLEGIO POLIVALENTE PLUS ULTRA,13108,2,-33.42078067,-70.65681068,1003,1,110,3,131,85.75,79.0
8616,COLEGIO POLIVALENTE PLUS ULTRA,13108,2,-33.42078067,-70.65681068,1003,1,110,5,131,88.1074168797954,62.2142857142857
8616,COLEGIO POLIVALENTE PLUS ULTRA,13108,2,-33.42078067,-70.65681068,1003,1,110,6,131,85.5661764705882,73.9047619047619
8616,COLEGIO POLIVALENTE PLUS ULTRA,13108,2,-33.42078067,-70.65681068,1003,1,110,7,131,86.4620253164557,73.75
8616,COLEGIO POLIVALENTE PLUS ULTRA,13108,2,-33.42078067,-70.65681068,1003,1,110,7,131,85.659217877095,62.1428571428571
8617,LICEO POLIT. SARA BLINDER DARGOLTZ,13101,2,-33.46780934,-70.64853307,782,1,410,7,131,83.9520295202952,65.5
8617,LICEO POLIT. SARA BLINDER DARGOLTZ,13101,2,-33.46780934,-70.64853307,782,1,410,7,131,85.0294117647059,30.0
8620,COLEGIO SAN SEBASTIAN,13101,2,-33.43779253999999,-70.66559409,474,1,10,2,131,92.5484949832776,65.0
8620,COLEGIO SAN SEBASTIAN,13101,2,-33.43779253999999,-70.66559409,474,1,10,5,131,92.5,76.0
8625,CENTRO EDUC. CASA TALLERES SAN VICENTE DE PAU,13101,2,-33.45669764,-70.6772688,961,1,110,2,131,88.29,59.0
8625,CENTRO EDUC. CASA TALLERES SAN VICENTE DE PAU,13101,2,-33.45669764,-70.6772688,961,1,110,5,131,84.5333333333333,49.0
8625,CENTRO EDUC. CASA TALLERES SAN VICENTE DE PAU,13101,2,-33.45669764,-70.6772688,961,1,110,7,131,83.0237288135593,26.8235294117647
8627,COLEGIO SANTA MARIA DE SANTIAGO,13101,2,-33.45235006,-70.64425534,1909,1,10,2,131,85.8792314730101,70.3
8627,COLEGIO SANTA MARIA DE SANTIAGO,13101,2,-33.45235006,-70.64425534,1909,1,10,5,131,86.739054290718,49.875
8631,COLEGIO ECHAURREN,13106,2,-33.47507572,-70.71677679,775,1,10,2,131,90.1947791164659,62.85
8631,COLEGIO ECHAURREN,13106,2,-33.47507572,-70.71677679,775,1,10,5,131,90.8939393939394,53.3333333333333
8632,LICEO POLIVALENTE SANTA JULIANA,13127,2,-33.40708328,-70.64873606,1572,1,10,2,131,86.3102345415778,78.8867924528302
8632,LICEO POLIVALENTE SANTA JULIANA,13127,2,-33.40708328,-70.64873606,1572,1,10,5,131,87.0195439739414,76.1
8634,LICEO RUIZ TAGLE,13106,2,-33.45159121999999,-70.68899863,974,1,10,2,131,88.0620805369127,84.8
8634,LICEO RUIZ TAGLE,13106,2,-33.45159121999999,-70.68899863,974,1,10,5,131,90.8523985239852,80.0
8636,LICEO LEONARDO MURIALDO,13127,2,-33.43021573,-70.64040626,1592,1,110,5,131,88.1933085501859,53.25
8639,LICEO Y COLEGIO NUEVO HISPANO CHILENO,13101,2,-33.44066566,-70.67098244,446,1,110,2,131,84.2347417840376,62.6
