stop_id,stop_name,RBD,school_name,distance
PC913,PC913-Camino Los Trapenses / Esq. La Represa,20436,COLEGIO  ALONSO  DE  CORDOVA,0.6194800124721918
PC914,PC914-Parada / Rotonda Pie Andino,20436,COLEGIO  ALONSO  DE  CORDOVA,0.17890631145375605
PC907,PC907-Parada / Rotonda Pie Andino,20436,COLEGIO  ALONSO  DE  CORDOVA,0.17526313672871272
PC908,PC908-Camino Los Trapenses / Esq. Pedro Lira Urquieta,20436,COLEGIO  ALONSO  DE  CORDOVA,0.596756805762515
PC909,PC909-Camino Los Trapenses / Esq. Cam. Del Sembrador,8906,COLEGIO SAINT GEORGE S COLLEGE,0.5483159333910451
PC910,PC910-Camino Los Trapenses / Esq. Golf De Manquehue,8906,COLEGIO SAINT GEORGE S COLLEGE,0.32328021817683716
PC1094,PC1094-Camino Los Trapenses / Esq. Camino Real,8906,COLEGIO SAINT GEORGE S COLLEGE,0.2873463731903221
PC769,PC769-Parada 3 / Rotonda Caminos Real,8906,COLEGIO SAINT GEORGE S COLLEGE,0.4156841704947615
PC770,PC770-Camino Los Trapenses / Esq. Valle De La Unión,8906,COLEGIO SAINT GEORGE S COLLEGE,0.5712195559814164
PC771,PC771-Camino Los Trapenses / Esq. Camino Del Monje,8906,COLEGIO SAINT GEORGE S COLLEGE,0.8007617072968707
PC772,PC772-Camino Los Trapenses / Esq. Santa Blanca,8906,COLEGIO SAINT GEORGE S COLLEGE,0.9986860343148671
PC773,PC773-Camino Los Trapenses / Esq. El Pelero,8759,COLEGIO SANTA CECILIA,1.2363969815792633
PC774,PC774-Camino Los Trapenses / Esq. Av.Alcalde Délano,8759,COLEGIO SANTA CECILIA,0.8428899217855287
PC942,PC942-Av. José Alcalde Délano / Esq. Cerro La Campaña,8759,COLEGIO SANTA CECILIA,0.8958051079349802
PC943,PC943-Av. José Alcalde Délano / Esq. Manquehue-Oriente,8759,COLEGIO SANTA CECILIA,1.049572746836381
PC1071,PC1071-Sta. Teresa De Los Andes / Esq. Raimundo Larraín,8759,COLEGIO SANTA CECILIA,1.3318101496451822
PC1078,PC1078-Avenida Santa María / Esq. Gran Vía,8791,COLEGIO FILIPENSE,0.9252304459229462
PC1075,PC1075-Avenida Santa María / Esq. Camino La Bodega,8825,COLEGIO ANTARTICA CHILENA,0.49918020450230083
PC1074,PC1074-Parada / Rotonda Lo Curro,8825,COLEGIO ANTARTICA CHILENA,0.3766070042474595
PC944,PC944-Avenida Juan Xxiii / Esq. Eduardo Acevedo,8825,COLEGIO ANTARTICA CHILENA,0.15094447265940542
PC945,PC945-Avenida Juan Xxiii / Esq. Caribes,8814,LICEO INDUSTRIAL A-22 DE SANTIAGO,0.2810270960279486
PC946,PC946-Avenida Juan Xxiii / Esq. Joaquín Cerda,8828,LICEO BICENTENARIO SIMON BOLIVAR,0.3176327970005408
PC1021,PC1021-Avenida Juan Xxiii / Esq. Ing. Alvarez Albornoz,8828,LICEO BICENTENARIO SIMON BOLIVAR,0.4682993221360671
PC1035,PC1035-Parada 1 / Clínica Alemana,20447,ESCUELA  ESPECIAL  N°2476  MIS  FUTURAS  PALABRAS,0.5018617316041781
PC1252,PC1252-Los Militares / Esq. Urano,8761,COLEGIO INSTITUTO DE HUMANIDADES LUIS CAMPINO,0.585951196115903
PC950,PC950-Los Militares / Esq. A. De Córdova,8750,COLEGIO ACADEMIA DE HUMANIDADES,0.42547441793635193
PC951,PC951-Los Militares / Esq. Warren Smith,8750,COLEGIO ACADEMIA DE HUMANIDADES,0.4057076346354571
PC620,PC620-Warren Smith / Esq. Avenida Apoquindo,8750,COLEGIO ACADEMIA DE HUMANIDADES,0.15152187652758206
PC180,PC180-Avenida Apoquindo / Esq. La Gloria,8750,COLEGIO ACADEMIA DE HUMANIDADES,0.2661738283300004
PC181,PC181-Parada / Omnium,26048,COLEGIO DE ADULTOS ALFRED NOBEL EL BOSQUE,0.36942918990554574
PC324,PC324-Av. Pdte. Kennedy / Esq. Brasilia-Oriente,8895,COLEGIO DALCAHUE,0.17049394786218428
PC325,PC325-Av. Pdte. Kennedy / Esq. G. De Alderete,8895,COLEGIO DALCAHUE,0.3972460280469627
PC326,PC326-Av. Pdte. Kennedy / Esq. G. De Alderete,25265,COLEGIO ANTIL MAWIDA,0.3363216227341473
PC1224,PC1224-Av. Pdte. Kennedy / Esq. Reina Astrid,8690,ESCUELA PARTICULAR AMOR DE DIOS,0.38456527090820125
PC327,PC327-Av. Pdte. Kennedy / Esq. Av. Las Tranqueras,25043,ESCUELA VOLCAN SAN JOSE,0.29864077354716645
PC328,PC328-Av. Pdte. Kennedy / Esq. Apaches,25043,ESCUELA VOLCAN SAN JOSE,0.07370415390605764
PC1053,PC1053-Gilberto Fuenzalida / Esq. Las Verbenas,8697,COLEGIO ORATORIO DON BOSCO,0.4009753679948179
PC285,PC285-Avenida Las Condes / Esq. Abadía,25953,ESC. ESP.PART. SAN AGUSTIN DE INDEPENDENCIA,0.4153578523003596
PC1052,PC1052-Charles Hamilton / Esq. Cañaveral,25953,ESC. ESP.PART. SAN AGUSTIN DE INDEPENDENCIA,0.24662585588716598
PC1055,PC1055-Avenida Paul Harris / Esq. A. Inglesa,25953,ESC. ESP.PART. SAN AGUSTIN DE INDEPENDENCIA,0.3584677135875462
PC1056,PC1056-Avenida Paul Harris / Esq. Campanario,25709,LINCOLN COLLEGE LA FLORIDA,0.04973644980811889
PC1054,PC1054-Avenida Paul Harris / Esq. Río Maule,25709,LINCOLN COLLEGE LA FLORIDA,0.2235831315621528
PC891,PC891-Parada 6 / Nudo Estoril,8754,COLEGIO HISPANO AMERICANO,0.47191385617946946
PC331,PC331-Parada 2 / Mall Alto Las Condes,8697,COLEGIO ORATORIO DON BOSCO,0.19649037585184512
PC332,PC332-Av. Pdte. Kennedy / Esq. Av. Las Tranqueras,25043,ESCUELA VOLCAN SAN JOSE,0.18740619729500885
PC333,PC333-Av. Pdte. Kennedy / Esq. G. De Alderete,8703,ESCUELA BASICA N°728 MARYLAND COLLEGE,0.36757444648103055
PC334,PC334-Av. Pdte. Kennedy / Esq. G. De Alderete,25265,COLEGIO ANTIL MAWIDA,0.4017967914159081
