stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PG7,,PG7-Parada / Muni.La Cisterna,-33.5340461176512,-70.6635799996099,,0
PG8,,PG8-Parada 9 / (M) La Cisterna,-33.5378561013313,-70.6645930002273,,0
PG9,,PG9-Parada 1 / Paradero 27 Gran Avenida,-33.542641076519,-70.666048999907,,0
PG10,,PG10-Parada 1 / Paradero 28 Gran Avenida,-33.5461390294524,-70.6688420004519,,0
PG11,,PG11-Parada / Paradero 29 Gran Avenida,-33.5488619695239,-70.6710056159006,,0
PG12,,PG12-Parada 1 / Paradero 3 - Gran Avenida,-33.5507879682108,-70.6725130002845,,0
PG13,,PG13-Parada 1 / Paradero 31 Gran Avenida,-33.5538920011205,-70.6749622112213,,0
PG14,,PG14-Parada / Paradero 32 Gran Avenida,-33.5560368987031,-70.6766289995742,,0
PG15,,PG15-Gran Avenida / Esq. Lo Espina,-33.5582452866835,-70.6783597467787,,0
PG16,,PG16-Parada / Paradero 33 Gran Avenida,-33.5594534173714,-70.6793038700913,,0
PG17,,PG17-Parada / Escuela De Aviación,-33.561596823456,-70.6809899997513,,0
PG18,,PG18-Parada / Paradero 35 Gran Avenida,-33.5637217945629,-70.6826899995772,,0
PG19,,PG19-Parada / Paradero 36 Gran Avenida,-33.5660857614543,-70.6846249999229,,0
PG20,,PG20-Parada 1 / Paradero 36 1/2 Gran Avenida,-33.5681027326924,-70.6862820003468,,0
PG21,,PG21-Parada / Paradero 37 Gran Avenida,-33.570892696563,-70.688342000309,,0
PG22,,PG22-Parada / Paradero 38 Gran Avenida,-33.5736754415643,-70.6903673151627,,0
PG23,,PG23-Parada 1 / Paradero 39 Gran Avenida,-33.5759075467255,-70.6919972392394,,0
PG24,,PG24-Parada / Paradero 4 Gran Avenida,-33.5785545991094,-70.6939259996805,,0
PG25,,PG25-Parada 1 / Paradero 41 Gran Avenida,-33.5823775495046,-70.6967600002864,,0
PG26,,PG26-Parada 2 / Est.Freire,-33.5856884876271,-70.7002759999798,,0
PG27,,PG27-Av.José M. Balmaceda / Esq. Urmeneta,-33.5851702360821,-70.7038658901225,,0
PG28,,PG28-Urmeneta / Esq. 12 De Febrero,-33.5864934105817,-70.7046020001717,,0
PG29,,PG29-Urmeneta / Esq. Av. Colón-Norte,-33.5890815485634,-70.7055687669733,,0
PG30,,PG30-Urmeneta / Esq. Covadonga,-33.5934443650067,-70.7071529998305,,0
PG31,,PG31-San José / Esq. Eyzaguirre,-33.5961493681589,-70.7069270004145,,0
PG32,,PG32-San José / Esq. Bulnes,-33.5967875611164,-70.7026080123529,,0
PG1204,,PG1204-San José / Esq. San Martín,-33.5985236091953,-70.6954610003044,,0
PG1580,,PG1580-José Besa / Esq. Antonio Varas,-33.5982176000836,-70.6938409998273,,0
PG1581,,PG1581-José Besa / Esq. San José,-33.5986945929554,-70.6942569995444,,0
PG1219,,PG1219-San José / Esq. José Besa,-33.5989785849051,-70.6939694426997,,0
PG529,,PG529-José Joaquín Pérez / Esq. San José,-33.5968696528366,-70.7011015359566,,0
PG36,,PG36-Esmeralda / Esq. Bulnes,-33.5982113052773,-70.7026149777583,,0
PG37,,PG37-Freire / Esq. San José,-33.5967423978542,-70.7052630001615,,0
PG1599,,PG1599-Parada 2 / Plaza De San Bernardo,-33.5922410335906,-70.7036889141713,,0
PG40,,PG40-Freire / Esq. 12 De Febrero,-33.5880638447527,-70.7008673102316,,0
PG41,,PG41-Parada 1 / Est.Freire,-33.5861965050969,-70.6992459996499,,0
PG43,,PG43-Parada 2 / Paradero 41 Gran Avenida,-33.5821045585531,-70.6962369995067,,0
PG44,,PG44-Parada / Paradero 4 Gran Avenida,-33.5796757477403,-70.6944169366011,,0
PG45,,PG45-Parada 2 / Paradero 39 Gran Avenida,-33.5768376269181,-70.6923650001754,,0
PG46,,PG46-Parada / Paradero 38 Gran Avenida,-33.5744666574152,-70.6906299996713,,0
PG47,,PG47-Parada / Paradero 37 Gran Avenida,-33.5717905076772,-70.6886514828575,,0
PG48,,PG48-Parada 2 / Paradero 36 1/2 Gran Avenida,-33.5686777712449,-70.6864190175424,,0
PG49,,PG49-Parada / Paradero 36 Gran Avenida,-33.5664137619082,-70.684569000269,,0
PG50,,PG50-Parada / Paradero 35 Gran Avenida,-33.5642217927873,-70.6827870002611,,0
PG51,,PG51-Parada / Escuela De Aviación,-33.5616208672366,-70.6807278646637,,0
PG52,,PG52-Parada / Paradero 33 Gran Avenida,-33.5592208607008,-70.6788470000871,,0
PG53,,PG53-Gran Avenida / Esq. Los Treboles,-33.5576028818248,-70.6775740002592,,0
PG54,,PG54-Parada / Paradero 32 Gran Avenida,-33.555715907843,-70.6760819998502,,0
PG55,,PG55-Parada 2 / Paradero 31 Gran Avenida,-33.5537629334706,-70.6745429998351,,0
PG56,,PG56-Parada 2 / Paradero 30 Gran Avenida,-33.5513380759362,-70.6726239110333,,0
PG57,,PG57-Parada / Paradero 29 Gran Avenida,-33.5492179939966,-70.670973999754,,0
PG58,,PG58-Parada 2 / Paradero 28 Gran Avenida,-33.545890038726,-70.6683310005704,,0
PG59,,PG59-Parada 2 / Paradero 27 Gran Avenida,-33.5430640756793,-70.6660860003385,,0
PG61,,PG61-Parada 8 / (M) La Cisterna,-33.537927103452,-70.6644540000028,,0
PG62,,PG62-Parada / Paradero 23 Gran Avenida,-33.533450046651,-70.6631742020136,,0
PG63,,PG63-Parada / Iglesia Don Bosco,-33.53218513074,-70.6628260000898,,0
PG64,,PG64-Parada 2 / Paradero 22 Gran Avenida,-33.5295342617976,-70.6620821490497,,0
PG65,,PG65-Parada 2 / (M) El Parrón,-33.5268671548216,-70.6613820000668,,0
PG66,,PG66-Parada 2 / Paradero 2 Gran Avenida,-33.5243461661938,-70.6606909996074,,0
PG67,,PG67-Parada 2 / Paradero 19 Gran Avenida,-33.5208198271447,-70.6596611779405,,0
