RBD,NOM_RBD,COD_COM_RBD,COD_DEPE2,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,ENS_01
8504,LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT,13101,4,-33.44304696999999,-70.67052414,660,1,310
8505,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL,13101,4,-33.44102148999999,-70.67965152,866,1,310
8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,13101,4,-33.43851658,-70.67837947,998,1,310
8507,LICEO COMERCIAL JOAQUIN VERA MORALES,13101,4,-33.45549342,-70.66865263,1102,1,310
8508,LICEO POLIVALENTE JUAN A.RIOS,13126,1,-33.43160765999999,-70.68697808,378,1,310
8510,LICEO PAULA JARAQUEMADA,13127,1,-33.42596186,-70.64693479,316,1,310
8511,LICEO EXPERIMENTAL ARTISTICO B-65,13119,4,-33.43229408,-70.68769941,572,1,110
8513,ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY,13101,1,-33.44986649,-70.64029999,694,1,10
8514,LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA,13108,1,-33.40979197,-70.66251778,1131,1,10
8515,ESCUELA BASICA CORNELIA OLIVARES,13108,1,-33.42314179,-70.65681424,311,1,10
8518,LICEO ESTACION CENTRAL,13106,1,-33.45660624,-70.69843202,691,1,10
8519,ESCUELA BASICA PEDRO AGUIRRE CERDA,13102,1,-33.48183895999999,-70.69316402,319,1,10
8520,ESCUELA BASICA PROVINCIA DE CHILOE,13101,1,-33.47074552,-70.67136899,579,1,10
8521,ESCUELA CARLOS CONDELL DE LA HAZA,13106,1,-33.46146352,-70.70038386,1014,1,10
8522,ESCUELA BASICA REPUBLICA DE COLOMBIA,13101,1,-33.45423061,-70.67438866,699,1,10
8523,ESCUELA BASICA REPUBLICA DE PANAMA,13101,1,-33.44242110999999,-70.67800391,392,1,10
8529,ESCUELA DE PARVULOS ANTU-HUILEN,13108,1,-33.422047,-70.66598,428,1,10
8530,ESCUELA CADETE ARTURO PRAT CHACON,13101,1,-33.44870941,-70.65670874,893,1,10
8531,ESCUELA BASICA IRENE FREI DE CID,13101,1,-33.46779187,-70.644024,571,1,10
8532,ESCUELA BASICA LIBERTADORES DE CHILE,13101,1,-33.4359531,-70.66203467,386,1,10
8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,13101,1,-33.44976157,-70.63183657,638,1,10
8535,LICEO REPUBLICA DE BRASIL,13101,1,-33.47205853,-70.65926219,509,1,10
8536,ESCUELA REPUBLICA DE ISRAEL,13101,1,-33.43965974,-70.67474682,606,1,10
8537,ESCUELA ARNALDO FALABELLA,13106,1,-33.45858943,-70.69222383,714,1,10
8540,ESCUELA BASICA REPUBLICA DE HAITI,13101,1,-33.47471332,-70.65160842,290,1,10
8541,LICEO DE ADULTOS HERBERT VARGAS WALLIS,13101,1,-33.473263,-70.65968,630,1,165
8542,LICEO SAN FRANCISCO DE QUITO,13108,1,-33.41036924,-70.66255379,928,1,10
8544,ESCUELA BÁSICA ARTURO ALESSANDRI PALMA,13106,1,-33.45601648,-70.69874984,992,1,10
8546,ESC.BAS.BILINGUE REPUBLICA DEL PARAGUAY,13127,1,-33.42700918,-70.64669818,1296,1,10
8547,ESCUELA NUEVA ZELANDIA,13108,1,-33.42201846999999,-70.67178326,395,1,10
8548,ESCUELA BASICA DR LUIS CALVO MACKENNA,13101,1,-33.43577602,-70.66869441,664,1,10
8549,ESCUELA FERNANDO ALESSANDRI RODRIGUEZ,13101,1,-33.45677263999999,-70.65366284,391,1,10
8552,ESCUELA BAS SALVADOR SANFUENTES REP EEUU,13101,1,-33.44035234999999,-70.67931406,1229,1,10
8553,ESCUELA DE ADULTOS  JORGE ALESSANDRI R.,13127,1,-33.42455,-70.64515,869,1,167
8554,LICEO MUNICIPAL METROPOLITANO DE ADULTOS,13101,1,-33.469337,-70.64488,305,1,165
8555,ESCUELA REPUBLICA EL LIBANO,13101,1,-33.45570717999999,-70.65809855,263,1,110
8556,ESCUELA REPUBLICA DE AUSTRIA,13106,1,-33.47529212,-70.6949904,690,1,10
8558,ESCUELA BÁSICA HUMBERTO VALENZUELA GARCÍA,13106,1,-33.47151519,-70.69187992,586,1,10
8561,ESCUELA REPUBLICA DE ALEMANIA,13101,1,-33.43146413,-70.67549745,345,1,10
8562,CIUDAD SANTIAGO DE CHILE,13101,1,-33.46092709,-70.64804215,314,1,10
8563,ESCUELA BASICA REPUBLICA DE MEXICO,13101,1,-33.44957134,-70.63669304,663,1,10
8564,ESCUELA BASICA REINO DE NORUEGA,13126,1,-33.43227444,-70.68794874,523,1,10
8569,ESCUELA BASICA REPUBLICA DEL ECUADOR,13101,1,-33.44896938,-70.67072409,651,1,10
8571,LICEO DR HUMBERTO MATURANA ROMESIN,13101,1,-33.46010060999999,-70.64492294,6,1,165
8572,ESCUELA BASICA CAMILO MORI,13108,1,-33.42456726,-70.66693364,322,1,10
8576,ESCUELA BASICA REYES CATOLICOS,13101,1,-33.46795786,-70.62786296,290,1,10
8579,ESCUELA BASICA UNION LATINOAMERICANA,13106,1,-33.46348143,-70.6917367,378,1,10
8581,ESCUELA BÁSICA F Nº 64,13101,1,-33.46615535,-70.65276247,312,1,10
8585,ESC. CENTRO DE CAPACITACION LABORAL SANTIAGO,13101,1,-33.45429,-70.66036,68,1,212
8586,ESCUELA DIFERENCIAL JUAN SANDOVAL C,13101,1,-33.47032,-70.65161,256,1,212
8587,LICEO DE ADULTOS MUNICIPALIZADO LUIS GOMEZ CATALAN,13106,1,-33.455536,-70.69752,443,1,165
8589,LICEO MIGUEL RAFAEL PRADO,13108,2,-33.42140808,-70.66238091,1844,1,10
8592,LICEO JOSE MIGUEL INFANTE,13101,2,-33.43322191,-70.66402874,1015,1,110
8598,COLEGIO ALTO PALENA,13101,2,-33.44563938,-70.67614969,382,1,110
8601,COLEGIO WUNMAN,13101,2,-33.44868,-70.63706,121,1,310
8603,CENTRO EDUCATIVO SALESIANOS ALAMEDA,13101,2,-33.44704549,-70.66787974,1727,1,110
8604,COLEGIO SANTA CRUZ,13101,2,-33.46341747,-70.65124299,975,1,10
8609,COLEGIO SAN IGNACIO,13101,3,-33.447065,-70.65616,1385,1,10
