agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
5458,Copiapó,http://moovitapp.com,America/Santiago,es,,
14925,Sol de Atacama,http://soldeatacama.cl/,America/Santiago,es,,
